Kode Pangan,Nama Pangan,Lemak,Karbohidrat,Serat,Natrium,Kalium,Keterangan,link
BP021,Beras Siger,0.2,28.3,5.6,1.06,0.779,"Beras Siger adalah jenis beras yang berasal dari Sulawesi Selatan, Indonesia. Beras ini memiliki aroma yang khas dan tekstur yang lembut. Beras Siger sering digunakan dalam hidangan-hidangan khas Sulawesi Selatan.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP022,Biji nangka/Biji salak,5.4,51.1,8,0.1,0.02,"Biji nangka atau biji salak adalah biji-bijian yang terdapat di dalam buah nangka atau salak. Biji ini dapat dimakan setelah direbus atau dipanggang, dan sering digunakan sebagai bahan dalam berbagai hidangan atau kue.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP023,Bubur sagu,4,33,0,0.07,0,"Buah tomat adalah buah yang umumnya digunakan sebagai sayuran dalam masakan. Buah ini memiliki kulit yang halus dan daging buah yang berair. Tomat memiliki rasa yang segar dan asam, dan sering digunakan dalam berbagai hidangan, saus, atau salad.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP024,Cassavastick,18.7,17.2,1.6,0,0,Cassavastick adalah makanan ringan yang terbuat dari singkong yang dipotong tipis dan digoreng.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP025,Ceriping getuk singkong,20.7,67.7,0.6,0,0,Ceriping getuk singkong adalah makanan ringan yang terbuat dari singkong yang digoreng.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP026,Gatot,0.7,83.8,5.8,0.28,2.42,Gatot adalah makanan tradisional dari Jawa Tengah. Terbuat dari ketan yang dikukus dan kemudian dipotong-potong. Gatot biasanya disajikan dengan taburan kelapa parut dan gula merah.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP027,Geblek,1.7,44.4,3.6,3.53,1.25,"Geblek adalah makanan tradisional dari Jawa Tengah. Terbuat dari singkong yang diiris tipis, kemudian dikeringkan dan digoreng. Geblek memiliki tekstur yang renyah dan rasa yang gurih.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP028,Getuk goreng,6.4,74.3,0.8,0,0,Getuk Goreng adalah makanan tradisional dari Jawa yang terbuat dari ketela pohon yang dikukus dan kemudian digoreng hingga matang. Getuk Goreng biasanya memiliki rasa manis dan tekstur yang renyah di luar serta lembut di dalam.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP029,Getuk singkong,1.4,47.4,0.8,0,0,"Getuk Singkong adalah makanan tradisional yang terbuat dari singkong yang dihaluskan, kemudian dicampur dengan tepungketan dan santan. Getuk Singkong memiliki rasa manis dan tekstur yang kenyal.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP030,Gurandil,2.5,48.5,3.1,0,0,"Gurandil adalah makanan tradisional dari Jawa Tengah yang terbuat dari campuran tepung beras, kelapa parut, dan gula merah. Gurandil biasanya berbentuk bulat atau lonjong dengan taburan kelapa parut di luar.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP032,Kapurung,0.3,7.8,2,1.85,5.66,"Kapurung adalah hidangan khas Makassar, Sulawesi Selatan, Indonesia. Hidangan ini terdiri dari sayuran seperti kangkung, daun pepaya, dan daun singkong yang dicampur dengan bumbu seperti kelapa parut, bawang merah, cabai, dan rempah-rempah.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP033,Kecimpring singkong goreng,18.6,73,1.3,0,0,Kecimpring singkong goreng adalah camilan yang terbuat dari singkong yang diiris tipis dan digoreng hingga renyah. Biasanya diberi bumbu atau garam untuk memberikan cita rasa yang gurih.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP034,Keremes,25.2,64.4,2.1,0,0,"Keremes adalah hidangan khas Minahasa, Sulawesi Utara, Indonesia. Hidangan ini terdiri dari daging babi atau ayam yang diiris tipis, kemudian digoreng kering hingga renyah. Keremes biasanya memiliki rasa pedas dan gurih karena bumbu rempah-rempah yang digunakan.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP035,Keripik gadung,14.5,76,1.7,0,0,Keripik gadung adalah camilan yang terbuat dari umbi gadung yang diiris tipis dan digoreng hingga renyah. Gadung adalah jenis tanaman umbi-umbian yang memiliki rasa manis dan tekstur yang kenyal. Keripik gadung biasanya disajikan dengan garam atau bumbu khusus.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP036,Keripik kentang,18.8,67.1,3.8,7.12,4.06,Keripik kentang adalah camilan yang terbuat dari irisan tipis kentang yang digoreng hingga renyah. Keripik kentang biasanya diberi garam atau bumbu lainnya untuk memberikan rasa yang gurih. Camilan ini sangat populer dan dapat ditemukan dengan berbagai varietas rasa.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP037,Keripik Singkong,20.7,72,2,0,0,Keripik singkong adalah camilan yang terbuat dari irisan tipis singkong yang digoreng hingga renyah. Keripik singkong biasanya diberi garam atau bumbu khusus untuk memberikan rasa yang gurih. Camilan ini populer di Indonesia dan dapat ditemukan dalam berbagai varietas rasa.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP038,Keripik singkong berbumbu,19.7,73.6,1.6,0,0,"Keripik singkong berbumbu adalah varian keripik singkong yang diberi bumbu khusus untuk memberikan cita rasa yang berbeda. Bumbu yang digunakan dapat bervariasi, seperti bumbu pedas, bumbu balado, atau bumbu lainnya sesuai selera.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP039,Keripik ubi,23.9,67.6,14.3,0.52,0.02,"Keripik ubi adalah camilan yang terbuat dari irisan tipis ubi, baik ubi jalar maupun ubi kayu, yang digoreng hingga renyah. Keripik ubi memiliki rasa manis alami dari ubi dan seringkali diberi bumbu tambahan untuk memberikan variasi rasa.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP040,Kerupuk cumi goreng,14.6,71.3,5,8.37,1.91,Kerupuk cumi goreng adalah camilan yang terbuat dari daging cumi-cumi yang diolah menjadi adonan dan digoreng hingga renyah. Kerupuk cumi goreng memiliki rasa gurih dan umumnya disajikan sebagai camilan atau pendamping hidangan.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP041,Kerupuk kemplang (ikan) mentah,0.4,78.5,4.5,11.23,2.73,"Kerupuk kemplang mentah adalah jenis kerupuk yang terbuat dari daging ikan yang dihaluskan dan dicampur dengan tepung tapioka atau tepung kanji. Kerupuk ini kemudian dikeringkan tanpa melalui proses penggorengan sehingga mentah. Biasanya, kerupuk kemplang mentah diolah dengan cara direbus atau dipanggang sebelum disajikan.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP042,Kerupuk kemplang goreng,28.1,57.1,0.3,0,0,Kerupuk kemplang goreng adalah varian kerupuk kemplang yang digoreng hingga renyah. Kerupuk ini sering dihidangkan sebagai camilan dan memiliki rasa gurih yang khas.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP043,Kerupuk kemplang panggang,1.1,76.9,1,0,0,Kerupuk kemplang panggang adalah varian kerupuk kemplang yang dipanggang hingga matang. Proses pemanggangan memberikan kerupuk kemplang rasa yang gurih dan tekstur yang renyah.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP044,Kerupuk mie kuning goreng,21.1,71.3,4.2,0,1.09,Kerupuk mie kuning goreng adalah camilan yang terbuat dari mie kuning yang digoreng hingga renyah. Kerupuk ini biasanya memiliki rasa gurih dan sering disajikan sebagai camilan atau pendamping hidangan.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP045,Kerupuk udang goreng,20.5,68.5,5,4.49,1.09,Kerupuk udang goreng adalah camilan yang terbuat dari adonan udang yang diolah dan digoreng hingga renyah. Kerupuk ini memiliki rasa gurih dan umumnya disajikan sebagai camilan atau pendamping hidangan.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP046,Kue bangket,1.2,80.3,0,0.67,0,"Kue Gelang adalah sejenis kue tradisional Indonesia yang terbuat dari campuran tepung terigu, gula, telur, dan mentega. Kue ini memiliki bentuk seperti donat yang dihubungkan satu sama lain membentuk gelang. Biasanya, kue ini digoreng hingga kecokelatan dan memiliki rasa manis.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP047,Kue Putu Singkong,0.5,53.2,2.4,0.03,3.05,"Kue Putu Singkong adalah kue tradisional Indonesia yang terbuat dari campuran singkong parut, gula kelapa, dan santan. Kue ini memiliki bentuk silinder dan dimasak dengan cara dikukus. Di dalamnya terdapat isi berupa campuran singkong dan gula kelapa yang memberikan rasa manis saat dimakan.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP048,Lanting getuk,10.8,80.4,1.4,0,0,Lanting Getuk khas cilacap komposisi singkong.tepung garam gula Renyah &Gurih Berat 5 kg ada bulatan kecil dan besar,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP049,Mi golosor,0.8,15.9,0.1,0,0,Mi golosor adalah mi yang terbuat dari tepung sagu (aci) dicampur kunyit. Mi tersebut berasal dari Sukabumi yang kemudian menjadi terkenal dan digemari oleh masyarakat kota Bogor.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP050,Mie Bendo,0,88,2.4,0.09,0.492,"Mie Bendo adalah hidangan mie khas daerah Jawa Timur, Indonesia. Mie ini biasanya disajikan dengan kuah kaldu yang kaya rempah-rempah dan diberi tambahan daging ayam, irisan daun bawang, tauge, dan bawang goreng. Mie Bendo memiliki rasa yang gurih dan khas.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP051,Mie Sagu,0.4,46.5,1.4,0.1,0.026,"Mie sagu adalah hidangan mie yang terbuat dari tepung sagu atau tepung tapioka. Mie ini memiliki tekstur kenyal dan biasanya dimasak dalam kuah kaldu atau ditumis dengan bumbu-bumbu seperti kecap, bawang, dan sayuran.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP052,Ongol-ongol sagu,2.7,21.2,0.3,0,0,"Ongol-ongol sagu adalah makanan penutup yang terbuat dari tepung sagu, gula kelapa, dan air. Ongol-ongol sagu memiliki tekstur kenyal dan manis. Biasanya, ongol-ongol sagu disajikan dengan taburan kelapa parut di atasnya.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP053,Oyek,0.9,84.9,4.3,0.05,2.29,"Oyek adalah bahan dasar nasi yang terbuat dari ketela pohon/ubi kayu/singkong, yang berbentuk butiran bulat sebesar biji kacang hijau dan berwarna coklat kekuning-kuningan. Dari bahan dasar oyek tersebut, dapat dijadikan berbagai makanan yang menarik dan unik dengan berbagai bentuk dan rasa",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP054,Papeda,0.1,14.9,0.5,0.04,0.2,Papeda adalah makanan tradisional Papua yang terbuat dari sagu. Biasanya berbentuk bubur kental yang dimasak dari tepung sagu dengan air. Papeda sering disajikan dengan ikan kuah atau hidangan laut lainnya. Papeda memiliki tekstur kenyal dan merupakan makanan pokok bagi suku-suku di Papua.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP055,Rasbi (Beras Ubi),8.8,76.6,6.8,1.65,3.88,"Rasbi adalah makanan tradisional dari Indonesia yang terbuat dari beras ketan dan ubi jalar yang diolah menjadi adonan kental, kemudian dibentuk dan dikukus. Rasbi memiliki tekstur kenyal dan rasa manis yang khas.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP056,Rasi (Beras Singkong),0.4,85.7,14.4,0.08,0.14,"Rasi adalah makanan tradisional dari Indonesia yang terbuat dari beras singkong atau ketela pohon yang diolah menjadi adonan kental, kemudian dibentuk dan dikukus. Rasi memiliki tekstur kenyal dan rasa manis yang khas.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP057,Sagu forno,4,63.4,0,0.4,0.5,Sagu forno adalah hidangan yang terbuat dari sagu yang dipanggang dalam oven atau dipanggang di atas bara api. Sagu merupakan tepung yang dihasilkan dari pohon sagu atau merpalm yang khas di Indonesia. Sagu forno dapat berupa kue atau roti yang memiliki tekstur kenyal dan rasa yang khas.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP058,Sagu Lemak (Kue Sagon),14.8,76.8,1.1,1.82,0.527,"Sagu lemak atau kue sagon adalah makanan ringan tradisional yang terbuat dari sagu, kelapa parut, dan gula. Adonan sagu dan kelapa dipadatkan menjadi bulatan kecil dan kemudian dipanggang hingga matang. Kue sagon memiliki tekstur kenyal dan rasa manis gurih.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP059,Sagu manis,3.9,62.4,0,0.34,0.42,"Sagu manis adalah hidangan penutup yang terbuat dari sagu yang dimasak dengan santan dan gula. Setelah dimasak, sagu biasanya didinginkan hingga membentuk tekstur yang kenyal. Sagu manis sering disajikan dengan kuah santan dan bisa ditambahkan dengan tambahan seperti buah segar.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP060,Sagu Rendang,0.2,90.5,1.9,0.42,0.151,"Sagu rendang adalah hidangan yang terbuat dari sagu yang dimasak dengan bumbu rendang. Bumbu rendang yang khas terdiri dari rempah-rempah seperti serai, daun jeruk, cabai, dan santan kental. Sagu rendang memiliki rasa gurih, pedas, dan rempah yang kaya.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP061,Sagu sinole,8.3,68.9,0,0.3,0.11,"Sagu sinole adalah hidangan tradisional dari Maluku, Indonesia. Hidangan ini terbuat dari sagu yang dimasak dengan santan, gula, dan rempah-rempah seperti kayu manis dan cengkih. Sagu sinole memiliki tekstur kenyal dan rasa manis gurih.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP062,Serimping talas kebumen,21.2,69.2,1.7,0,0,"Serimping talas Kebumen adalah makanan tradisional yang berasal dari Kebumen, Jawa Tengah, Indonesia. Serimping talas terbuat dari talas yang dipotong tipis dan kemudian direbus dan dikeringkan hingga menjadi kerupuk yang renyah. Makanan ini sering disajikan sebagai camilan atau makanan ringan.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP063,Tapai singkong,0.3,40.2,2,0,0,"Tapai singkong adalah makanan fermentasi yang terbuat dari singkong. Singkong dikupas, diparut, dan difermentasi dengan ragi. Tapai singkong memiliki tekstur kenyal dan rasa manis. Biasanya dimakan sebagai makanan penutup atau digunakan dalam hidangan tradisional.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP064,Tepung Arrowroot,0.2,85.2,0.4,0.02,0.107,"Tepung arrowroot adalah jenis tepung yang terbuat dari akar tanaman arrowroot. Arrowroot adalah tanaman tropis yang akarnya mengandung pati yang digunakan untuk membuat tepung. Tepung arrowroot digunakan sebagai bahan pengental dalam berbagai hidangan, seperti saus, sup, atau kue-kue. Tepung arrowroot sering digunakan sebagai alternatif bagi orang yang menghindari tepung terigu atau bahan pengental lainnya.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP065,Tepung Ganyong,1.7,83.6,0.7,0.03,0.635,"Tepung ganyong adalah jenis tepung yang terbuat dari umbi tanaman ganyong atau Canna edulis. Ganyong adalah tanaman umbi-umbian yang umum ditemui di Indonesia. Tepung ganyong sering digunakan dalam pembuatan kue tradisional, seperti onde-onde atau kue getas, karena memberikan tekstur yang kenyal dan rasa yang khas.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP066,Tepung Gaplek,0.4,83.1,6.7,0.06,0.55,"Tepung gaplek adalah tepung yang terbuat dari umbi singkong yang diproses secara tradisional. Proses pembuatan tepung gaplek melibatkan pengupasan kulit singkong, pemotongan, dan pengeringan dengan cara tradisional. Tepung gaplek biasanya digunakan dalam pembuatan kue tradisional atau sebagai bahan pengental dalam masakan.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP067,"Tepung kentang, kering",0.1,85.6,0.4,0.51,1.563,"Tepung kentang kering adalah tepung yang terbuat dari kentang yang telah dikeringkan dan digiling menjadi serbuk halus. Tepung kentang kering sering digunakan dalam pembuatan roti, kue, atau adonan kulit karena memberikan tekstur yang lembut dan empuk. Tepung kentang kering juga biasa digunakan sebagai bahan pengental dalam saus atau sup.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP068,Tepung Mocaf,0.6,85,6,0.08,4.03,"Tepung mocaf adalah singkatan dari modified cassava flour (tepung singkong termodifikasi). Tepung mocaf terbuat dari singkong yang telah diolah dan dimodifikasi untuk memperbaiki sifat fungsionalnya. Tepung mocaf sering digunakan sebagai bahan pengganti tepung terigu dalam pembuatan roti, kue, atau adonan kulit yang bebas gluten.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP069,Tepung Sente,0.4,76.7,8.5,0.14,16.02,Tepung Sente merupakan tepung yang terbuat dari umbi Sente,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP070,Tepung singkong/ Tapioka,0.5,88.2,0.9,0.01,0.071,"Tepung Singkong/Tapioka: Tepung singkong, juga dikenal sebagai tepung tapioka, adalah tepung yang terbuat dari akar singkong yang telah dikeringkan dan digiling menjadi serbuk halus. Tepung singkong/tapioka sering digunakan dalam pembuatan kue, roti, atau adonan kulit karena memberikan tekstur yang kenyal dan elastis. Tepung singkong/tapioka juga bisa digunakan sebagai bahan pengental dalam masakan.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP072,Tepung Ubi Ungu,0.6,84.4,12.9,0.42,9.4,"Tepung ubi ungu adalah jenis tepung yang terbuat dari umbi ubi ungu yang telah dikeringkan dan digiling menjadi serbuk halus. Tepung ubi ungu sering digunakan dalam pembuatan kue, roti, atau adonan kulit karena memberikan warna ungu yang menarik dan memberikan rasa yang manis. Tepung ubi ungu juga bisa digunakan sebagai bahan pengental dalam hidangan.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP073,Tiwul,1.1,83.4,6.5,0.05,6.7,Tiwul adalah makanan tradisional Indonesia yang terbuat dari tepung ketan atau singkong yang diolah menjadi bubur kering. Tiwul biasanya disajikan dengan lauk pauk atau dijadikan pelengkap dalam hidangan seperti gudeg. Tiwul memiliki tekstur yang kenyal dan rasa yang gurih.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP074,Tiwul Instan,8.5,76.5,4.2,3.77,4.69,Tiwul instan adalah variasi tiwul yang telah dikemas dalam bentuk instan sehingga lebih mudah dan cepat disajikan. Tiwul instan biasanya hanya perlu direndam dengan air panas atau direbus sebentar sebelum siap disantap.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP075,Ubi Cilembu,0.2,44.3,3.4,0.01,0.619,"Ubi Cilembu adalah jenis ubi manis yang berasal dari daerah Cilembu, Jawa Barat, Indonesia. Ubi Cilembu memiliki tekstur yang lembut dan rasa yang manis alami. Ubi ini sering digunakan dalam pembuatan makanan penutup atau diolah menjadi camilan seperti ubi goreng atau ubi kukus.",https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
BP076,Uli Batatas,4,27.4,0,0.06,1.12,Uli batatas adalah hidangan tradisional dari Timor Leste. Uli batatas terbuat dari ubi jalar yang diolah menjadi bubur dan dicampur dengan kelapa parut. Hidangan ini memiliki rasa manis dan memiliki tekstur yang lembut.,https://qph.cf2.quoracdn.net/main-qimg-a7310e626e9887cc4c9bce4f87ce2b7e-lq
CP001,"Kacang belimbing, rebus",8.8,17.5,4.8,0.43,10.98,"Kacang belimbing adalah kacang yang ditanam dalam polong panjang, dan bentuknya menyerupai belimbing. Biasanya bijinya direbus hingga matang dan dapat dimakan langsung atau digunakan dalam hidangan seperti salad atau tumisan.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP002,"Kacang bogor, goreng",23.2,58.9,1.2,0,0,Kacang Bogor juga dapat digoreng untuk menghasilkan camilan yang renyah. Biasanya kacang Bogor digoreng dengan sedikit minyak atau kering tanpa minyak tambahan.,https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP003,Kacang Bogor Rebus,2.8,27.1,2,0,0,"Kacang Bogor adalah jenis kacang hijau yang berasal dari Bogor, Indonesia. Biasanya bijinya direbus hingga matang dan dapat dimakan langsung atau digunakan dalam hidangan seperti bubur, tumisan, atau campuran nasi goreng.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP004,Kacang Gude Rebus,0.5,27.5,3.4,0.14,11.26,"Kacang gude adalah varietas kacang yang biasanya direbus hingga empuk. Kacang gude rebus dapat digunakan dalam hidangan seperti bubur, sup, atau tumisan.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP005,"kacang hijau, rebus",0.5,18.3,1.5,4.47,6.578,"Kacang hijau adalah kacang yang biasanya direbus hingga empuk. Kacang hijau rebus sering digunakan dalam hidangan seperti bubur, kolak, atau sebagai bahan dalam kue tradisional.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP006,"Kacang kedelai, goreng",37.7,22.9,7.6,34.92,118.9,"Kacang kedelai adalah kacang yang sering digunakan dalam pembuatan produk kedelai seperti tahu, tempe, atau susu kedelai. Kacang kedelai juga dapat digoreng hingga renyah dan digunakan sebagai camilan.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP007,"Kacang kedelai, rebus",8.2,12.7,1.6,1.81,6.15,"Kacang kedelai juga dapat direbus hingga empuk dan digunakan sebagai bahan dalam hidangan seperti sup, tumisan, atau dalam pembuatan tahu dan tempe.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP008,"Kacang merah kering, rebus",0.9,28.2,2.6,0.06,3.11,"Kacang merah kering adalah jenis kacang yang biasanya direbus setelah direndam dalam air untuk membuatnya empuk. Kacang merah rebus sering digunakan dalam hidangan seperti sup, tumisan, atau sebagai bahan dalam kue dan makanan penutup.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP009,Kacang Merah Rebus,1,24.7,3.5,0.06,3.11,"Kacang merah adalah jenis kacang yang direbus hingga empuk. Biasanya digunakan dalam hidangan seperti sup, tumisan, atau dalam pembuatan makanan seperti kacang merah goreng.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP010,"Kacang mete/biji jambu monyet, goreng",56.3,19.8,1.1,0.13,6.417,"Kacang mete, juga dikenal sebagai biji jambu monyet, adalah biji yang biasanya digoreng hingga renyah. Kacang mete goreng sering digunakan sebagai camilan atau bahan dalam hidangan seperti tumis atau salad.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP011,Kacang Tanah Rebus,31.2,12.8,0,0.32,4.83,"Kacang tanah adalah jenis kacang yang biasanya direbus hingga empuk. Kacang tanah rebus sering digunakan dalam hidangan seperti gado-gado, pecel, atau sebagai camilan.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP012,"Kacang tanah, goreng",44.4,25.5,2.8,0,0,Kacang tanah juga dapat digoreng hingga renyah dan digunakan sebagai camilan atau bahan dalam hidangan seperti gado-gado atau keripik kacang.,https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP013,"Kacang tanah, rebus",18,8,1,0.36,5.362,"Kacang tanah adalah jenis kacang yang biasanya direbus hingga empuk. Kacang tanah rebus sering digunakan dalam hidangan seperti gado-gado, pecel, atau sebagai camilan.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP014,Kacang Tolo Rebus,1.1,22.6,0.9,0.13,0.067,"Kacang tolo adalah jenis kacang yang biasanya direbus hingga empuk. Kacang tolo rebus sering digunakan dalam hidangan seperti bubur, kolak, atau sebagai bahan dalam kue tradisional.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP015,Ampas kacang hijau,0.6,19.1,2.7,0,0,"Ampas Kacang Hijau adalah sisa atau endapan yang dihasilkan dari proses pengolahan kacang hijau menjadi bubur atau santan. Ampas ini biasanya digunakan sebagai bahan dalam kue, seperti onde-onde atau moci, atau dapat dijadikan campuran dalam minuman atau makanan penutup.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP016,Ampas tahu,2.1,8.1,4.1,0.08,1.845,"Ampas Tahu adalah hasil samping dari pembuatan tahu yang terbuat dari biji kedelai yang dihaluskan. Ampas tahu umumnya memiliki tekstur lembut dan rasa yang netral. Biasanya digunakan sebagai bahan dalam hidangan seperti sup tahu, tumis sayuran, atau digunakan sebagai campuran dalam adonan bakso atau nugget.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP017,Ampas tahu kukus,2.1,10.7,5.1,0,0,"Ampas Tahu Kukus adalah ampas tahu yang dikukus hingga matang. Proses pengukusan ini memberikan tekstur yang lebih padat dan lembut pada ampas tahu. Biasanya digunakan sebagai bahan dalam hidangan seperti tahu isi, siomay, atau dimsum.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP018,"Ampas tahu, kering",18.3,41.3,0,0.45,10.557,"Ampas Tahu Kering adalah ampas tahu yang dikeringkan hingga mengeras. Biasanya memiliki tekstur yang renyah dan rapuh. Ampas tahu kering sering digunakan sebagai camilan atau taburan pada makanan seperti mie, bubur, atau salad untuk memberikan tambahan tekstur dan rasa gurih.",https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
CP019,Pepea oncom ampas tahu,1.8,10.6,2.2,0,0,Pepea oncom ampas tahu adalah hidangan yang terbuat dari oncom (fermentasi kacang kedelai) dan ampas tahu yang diolah dengan bumbu dan rempah-rempah. Hidangan ini memiliki rasa gurih dan tekstur yang lembut.,https://www.wowkeren.com/display/images/photo/2020/04/29/00308533_8.jpg
